Date,kwh
2019-09-16,29.93
2019-09-17,35.39
2019-09-18,29.68
2019-09-19,31.94
2019-09-20,36.91
2019-09-21,40.54
2019-09-22,46.53
2019-09-23,45.03
2019-09-24,47.01
2019-09-25,48.57
2019-09-26,43.37
2019-09-27,38.89
2019-09-28,36.7
2019-09-29,47.62
2019-09-30,42.14
2019-10-01,36.64
2019-10-02,28.95
2019-10-03,43.73
2019-10-04,43.21
2019-10-05,45.73
2019-10-06,45.42
2019-10-07,45.83
2019-10-08,43.44
2019-10-09,39.06
2019-10-10,43.56
2019-10-11,32.99
2019-10-12,32.34
2019-10-13,29.28
2019-10-14,29.99
2019-10-15,32.74
2019-10-16,37.95
2019-10-17,31.71
2019-10-18,28.06
2019-10-19,28.98
2019-10-20,28.98
2019-10-21,26.14
2019-10-22,33.05
2019-10-23,31.46
2019-10-24,28.08
2019-10-25,29.74
2019-10-26,24.56
2019-10-27,25.86
2019-10-28,25.38
2019-10-29,31.58
2019-10-30,27.53
2019-10-31,20.31
2019-11-01,19.03
2019-11-02,22.07
2019-11-03,31.73
2019-11-04,34.63
2019-11-05,35.44
2019-11-06,31.79
2019-11-07,33.58
2019-11-08,26.81
2019-11-09,24.01
2019-11-10,19.34
2019-11-11,20.45
2019-11-12,32.58
2019-11-13,34.96
2019-11-14,36.97
2019-11-15,45.08
2019-11-16,39.61
2019-11-17,37.61
2019-11-18,30
2019-11-19,33.56
2019-11-20,31.17
2019-11-21,30.41
2019-11-22,27.31
2019-11-23,25.86
2019-11-24,26.09
2019-11-25,22.77
2019-11-26,19.62
2019-11-27,23.38
2019-11-28,25.64
2019-11-29,19.66
2019-11-30,18.08
2019-12-01,6.38
2019-12-02,13.13
2019-12-03,11.12
2019-12-04,14.04
2019-12-05,13.66
2019-12-06,15.73
2019-12-07,4.98
2019-12-08,8.09
2019-12-09,13.59
2019-12-10,17.08
2019-12-11,19.64
2019-12-12,18.88
2019-12-13,19.34
2019-12-14,20.35
2019-12-15,20.34
2019-12-16,23.04
2019-12-17,19.48
2019-12-18,17.25
